date;frequency;retweet
01/03/2021;103;RT @WNLVandaag: In aanloop naar de verkiezingen komt #WNL met speciale verkiezingsuitzendingen. Iedere ochtend ontvangen we bij Goedemorgen Nederland een lijstrekker als co-presentator. Partijleider en lijsttrekker van de PVV @geertwilderspvv bijt dinsdag het spits af. #wnl https://t.co/WnFunhllQ9
02/03/2021;165;RT @thierrybaudet: NEVER FORGET: #FVD was ook de enige partij die stemde tegen het voorstel om de verkiezingen “aan te passen”. https://t.co/Nug7LTLu3S
02/03/2021;108;RT @oakentersagain: 💥#BREAKING Het ENORME Kiezerspotentieel voor @thierrybaudet #Baudet a.s. #verkiezingen #FVD wordt héél groot. Miljoenen mensen zijn geraakt via verborgen niet transparante #coronamaatregelen beleid, geheime #RIVM modellen, géén uitleg géén #grondwet #avondklok #mondkapjesplicht https://t.co/LtfEdydAlN
04/03/2021;222;RT @thierrybaudet: Thierry Baudet (FvD): Windparken op zee zijn weerzinwekkend, het zijn massagraven voor vogels en insecten | Verkiezingen 2021 | https://t.co/D3OUO63RrY https://t.co/2tgBJFlQnJ
04/03/2021;199;RT @VizierOpLinks: D66-leider @SigridKaag moet wegens smaad voor de rechter verschijnen op 16 maart (dat is tijdens de verkiezingen). https://t.co/VH7Ygkfd6q
04/03/2021;135;RT @janeikelboom: Toenmalig CDA-lijsttrekker Brinkman kwam vlak voor de verkiezingen van ‘94 met het plan de AOW te bevriezen. Het CDA verloor 20 zetels. Vandaag: Hoekstra wil WW-uitkering inkorten  https://t.co/nFqMc6Qg7t
04/03/2021;128;RT @marjanminnesma: Zullen we dit dan deze laatste week voor de verkiezingen tot hoofdthema maken? KNMI: 1,5 graad opwarming mogelijk al over negen jaar bereikt | NOS https://t.co/QkcplriEF2
05/03/2021;157;RT @marjanminnesma: Zullen we dit dan deze laatste week voor de verkiezingen tot hoofdthema maken? KNMI: 1,5 graad opwarming mogelijk al over negen jaar bereikt | NOS https://t.co/QkcplriEF2
05/03/2021;107;RT @LinksOntmaskerd: Jeanette Chedda (@JeanetteChedda), de nummer 4 van @PolitiekBIJ1, trapt vlak voor de verkiezingen nog even twee keer op het anti-blank racisme orgel. Pure haat. Het circus van @sylvanabij1 is een cultuurmarxistische, in identiteitspolitiek gevangen en extreemlinkse ‘partij’. https://t.co/S7MBpYx3ji
06/03/2021;262;RT @thierrybaudet: Deze verkiezingen zullen worden gewonnen door de moeders. Moeders die hun kinderen beschermen tegen wattenstaafjes elke ochtend in de neus. Tegen 1.5m en gedwongen thuiszitten. Tegen semi-verplichte vaccinaties. En tegen quasi-pedofilie op de NPO.  Moeders stemmen #FVD.
06/03/2021;118;RT @sypwynia: Partijen nog voor de verkiezingen uitsluiten van kabinetsonderhandelingen is ondemocratische minachting van de kiezer. Door John Smarius. https://t.co/v0t4PT8x9D #VolgWyniasWeek
07/03/2021;146;RT @thierrybaudet: Deze verkiezingen zullen worden gewonnen door de moeders. Moeders die hun kinderen beschermen tegen wattenstaafjes elke ochtend in de neus. Tegen 1.5m en gedwongen thuiszitten. Tegen semi-verplichte vaccinaties. En tegen quasi-pedofilie op de NPO.  Moeders stemmen #FVD.
07/03/2021;139;RT @BlikopNOS: Je hebt deze verkiezingen de keus tussen 2 fora:  1. World Economic Forum (Claus Schwab) met Rutte, Kaag, Klaver, en andere kartelfiguranten, avondklok blijft, vrijheid weg.  2 Forum voor Democratie, #Baudet, vrijheid terug, avondklok weg.  Meer fora zijn er niet. https://t.co/wy3mIzKZx5
07/03/2021;110;RT @SBergsma: Ik vind Rutte veel te ontspannen voor iemand die de verkiezingen keihard gaat verliezen op de energie die zich nu tegen hem keert. #IkSpreekMeUit #moederhart
08/03/2021;132;RT @annstrikje: Vanavond is de laatste corona #persconferentie voor 17 maart. De #Verkiezingen2021 staan voor de deur, dus het wordt tijd voor een speciale lange vragenlijst met de beste vragen uit vorige rondes + een aantal nieuwe. Lezen jullie mee @NOS @RTLnieuws @SBS6?
08/03/2021;112;RT @LarsDuursma: Belangwekkend nieuws, zo kort voor de verkiezingen  Nadat kabinet eerst #Wiv (#sleepwet) doordrukte ondanks afwijzend referendum, wil het nu ook het toezicht op deze wet grotendeels afschaffen  Voorzitters van beide toezichthouders dreigen met aftreden  https://t.co/i6t6sbNrPZ